JARVIS-ID,Formula,Spacegroup,Atom,Wycoff,Diag_Vxx,Diag_Vyy,Diag_Vzz,Eta,VASP_Vxx,VASP_Vxy,VASP_Vxz,VASP_Vyy,VASP_Vyz,VASP_Vzz
JVASP-10134,LaBO3,11,O,e,0.603,3.5882,-4.1912,0.712254247,-4.1912,0,0,2.8483,-1.2889,1.3428
JVASP-10138,P2K2Pd,63,P,g,-1.5002,-2.4354,3.9356,0.237625775,-1.5002,0,0,0.2887,-3.1519,1.2115
JVASP-10138,P2K2Pd,63,K,c,0.1738,1.7295,-1.9032,0.817412778,0.1738,0,0,1.1012,-1.3739,-1.275
JVASP-10138,P2K2Pd,63,Pd,a,1.1175,5.5546,-6.6721,0.665023006,-2.6713,2.3856,5.2172,1.1929,0.1649,1.4783
JVASP-1014,Ta,229,Ta,a,0,0,0,1.108,0,0,0,0,0,0
JVASP-10146,O3TiHg,167,O,e,-0.9374,-3.2916,4.229,0.556680066,2.8056,-0.5421,-2.5373,-2.5121,-0.9663,-0.2935
JVASP-10146,O3TiHg,167,Ti,b,0.1848,0.185,-0.3699,0.000540687,0.066,-0.0832,-0.2118,0.1268,-0.1483,-0.1928
JVASP-10146,O3TiHg,167,Hg,a,-15.0671,-15.0673,30.1345,6.64E-06,-5.3813,6.7775,17.2647,-10.3247,12.0805,15.706
JVASP-10148,F6Rb3Tl,139,F,i,-4.2812,-5.0274,9.3087,0.080161569,5.8588,-0.1728,-6.0598,-4.5232,-0.3035,-1.3355
JVASP-10148,F6Rb3Tl,139,F,e,-2.9633,-2.9634,5.9267,1.69E-05,-1.4926,2.0586,2.5835,-0.0821,3.616,1.5747
JVASP-10148,F6Rb3Tl,139,Rb,d,4.8635,4.8636,-9.7271,1.03E-05,2.4497,-3.3787,-4.2401,0.1346,-5.9346,-2.5843
JVASP-10148,F6Rb3Tl,139,Rb,b,4.565,4.5652,-9.1302,2.19E-05,2.2994,-3.1714,-3.9798,0.1263,-5.5704,-2.4257
JVASP-10148,F6Rb3Tl,139,Tl,a,-11.0221,-11.0224,22.0444,1.36E-05,-5.5516,7.6568,9.6093,-0.3053,13.4497,5.8569
JVASP-10153,S3K2,36,S,b,-12.6993,-14.436,27.1353,0.064001504,-10.312,10.0531,6.4871,10.6516,17.3174,-0.3396
JVASP-10153,S3K2,36,S,a,7.8284,21.109,-28.9374,0.458942407,-7.872,21.366,10.4054,5.3571,-7.6713,2.5149
JVASP-10153,S3K2,36,K,a,-0.2069,-0.4786,0.6855,0.396353027,0.2007,-0.5008,0.2412,-0.1094,-0.1778,-0.0913
JVASP-10154,K2Se3,36,K,a,0.3266,0.5132,-0.8398,0.222195761,-0.2769,0.4461,-0.4109,-0.0031,0.3037,0.28
JVASP-10154,K2Se3,36,Se,a,21.6568,37.5847,-59.2415,0.268863888,-18.0502,41.1168,22.1311,7.1974,-16.3559,10.8527
JVASP-10154,K2Se3,36,Se,b,-26.4923,-28.8989,55.3913,0.043447256,6.1674,26.4058,30.2386,-7.2404,25.3998,1.0731
JVASP-10158,Li4O5U,87,Li,h,-0.0067,-0.0184,0.0251,0.466135458,0.0192,0.0008,0.0124,-0.0182,-0.0015,-0.001
JVASP-10158,Li4O5U,87,O,h,-0.0384,-1.1518,1.1902,0.93547303,0.8172,0.2011,0.7972,-0.3037,-0.4296,-0.5135
JVASP-10158,Li4O5U,87,O,b,-0.4516,-0.4517,0.9033,0.000110705,0.66,0,0.5201,-0.4517,0,-0.2083
JVASP-10158,Li4O5U,87,U,a,-2.2444,-2.2451,4.4895,0.000155919,3.2798,0,2.5852,-2.2448,-0.0003,-1.035
JVASP-1016,Tb,166,Tb,a,-0.995,-0.995,1.99,0,-0.995,0,0,-0.995,0,1.99
JVASP-1016,Tb,166,Tb,c,-1.2265,-1.2265,2.453,0,-1.2265,0,0,-1.2265,0,2.453
JVASP-1017,Tb,166,Tb,a,-1.0867,-1.0876,2.1742,0.000413945,-0.9553,0.0784,0.6367,-1.0411,0.3781,1.9963
JVASP-1017,Tb,166,Tb,c,-1.2667,-1.2676,2.5344,0.000355114,-1.1136,0.0913,0.7422,-1.2135,0.4408,2.327
JVASP-10188,CdP4,14,Cd,a,-1.8874,-9.1594,11.0468,0.658290184,3.5619,7.8834,-4.5733,1.5923,0.8876,-5.1541
JVASP-10188,CdP4,14,P,e,2.9493,4.4138,-7.3631,0.198897204,-0.3731,3.9,-2.8494,-1.3556,3.9225,1.7287
JVASP-1019,Tc,194,Tc,d,0.7989,0.8,-1.5989,0.000687973,0.7989,0,0,0.8,0,-1.5989
JVASP-10197,O3CaSn,221,O,c,-4.0599,-4.0599,8.1198,0,4.0599,5.7416,0,0,0,-4.0599
JVASP-10197,O3CaSn,221,Ca,a,0,0,-0.0001,0,0,0,0,0,0,0
JVASP-10197,O3CaSn,221,Sn,b,0,-0.0001,0.0001,1,0,0,0.0001,0,0.0001,0
JVASP-10199,B2O6SrSn,148,B,c,-1.6929,-1.6929,3.3859,0,-0.9539,0.479,1.7256,-1.3824,1.1186,2.3363
JVASP-10199,B2O6SrSn,148,O,f,-0.2693,-7.3672,7.6364,0.929482479,-2.9362,4.741,-4.0003,-1.4616,-1.6743,4.3978
JVASP-10199,B2O6SrSn,148,Sr,a,2.4192,2.4192,-4.8384,0,1.3632,-0.6845,-2.4659,1.9754,-1.5984,-3.3386
JVASP-10199,B2O6SrSn,148,Sn,b,-0.3214,-0.3214,0.6428,0,-0.181,0.091,0.3277,-0.2625,0.2124,0.4435
JVASP-1020,Tc,194,Tc,d,0.8334,0.8352,-1.6686,0.001078749,0.8334,0,0,0.8352,0,-1.6686
JVASP-10200,LiO3U,161,Li,a,-0.0836,-0.0836,0.1671,0,-0.0355,0.0327,0.0931,-0.0613,0.0634,0.0968
JVASP-10200,LiO3U,161,O,b,-0.0904,-0.4337,0.5241,0.655027666,0.3308,0.2919,-0.0029,0.071,0.1107,-0.4019
JVASP-10200,LiO3U,161,U,a,2.5366,2.537,-5.0736,7.88E-05,1.0774,-0.9931,-2.8265,1.861,-1.9239,-2.9385
JVASP-10206,InGaO3,194,In,a,-3.9396,-3.9398,7.8794,2.54E-05,-3.9396,0,0,-3.9398,0,7.8794
JVASP-10206,InGaO3,194,Ga,d,1.7852,1.7855,-3.5707,8.40E-05,1.7855,0,0,1.7852,0,-3.5707
JVASP-10206,InGaO3,194,O,f,-1.0284,-1.0284,2.0568,0,-1.0284,0,0,-1.0284,0,2.0568
JVASP-10206,InGaO3,194,O,b,5.9989,5.999,-11.9979,8.33E-06,5.9989,0,0,5.999,0,-11.9979
JVASP-10209,K2As2Pd,63,K,c,-0.3537,-1.4387,1.7924,0.605333631,-0.3537,0,0,-0.8687,1.2317,1.2224
JVASP-10209,K2As2Pd,63,As,g,-6.259,-6.6327,12.8917,0.028987643,-6.6327,0,0,4.8957,-9.4442,1.737
JVASP-10209,K2As2Pd,63,Pd,a,2.1575,3.3822,-5.5397,0.221076954,-3.4421,1.5892,3.4336,2.0035,-0.3328,1.4386
JVASP-1021,Tc,194,Tc,d,0.7696,0.7689,-1.5386,0,0.7696,0,0,0.7689,0,-1.5386
JVASP-10212,LiNO3,167,Li,b,0.0249,0.0249,-0.0497,0,0.0133,-0.0076,-0.0259,0.0199,-0.017,-0.0332
JVASP-10212,LiNO3,167,N,a,0.3313,0.3313,-0.6625,0,0.1768,-0.1011,-0.3456,0.2651,-0.2262,-0.4419
JVASP-10212,LiNO3,167,O,e,-1.6577,-19.8804,21.538,0.846072059,-4.6488,-17.1405,6.3178,10.3187,4.1353,-5.6699
JVASP-10214,O2K2Zn,72,O,j,2.0411,3.1983,-5.2394,0.220864985,1.7952,0.2242,-3.1324,1.9995,0.5006,-3.7947
JVASP-10214,O2K2Zn,72,K,j,0.2663,3.1417,-3.408,0.843720657,2.1742,-0.6085,-2.1598,-0.4942,-1.3585,-1.68
JVASP-10214,O2K2Zn,72,Zn,a,0.415,3.2013,-3.6163,0.770483644,-2.591,0.4898,2.2891,1.097,1.0933,1.494
JVASP-1022,Te,152,Te,a,19.5364,35.7807,-55.3171,0.293657838,-24.0829,-25.1837,-30.522,4.9966,-17.6219,19.0863
JVASP-10220,O6ZnPt3,65,O,p,4.5258,6.5309,-11.0566,0.181348697,6.5309,0,0,-10.927,-1.4155,4.3961
JVASP-10220,O6ZnPt3,65,O,j,3.0047,9.429,-12.4336,0.51668865,-12.4336,0,0,7.2499,3.0415,5.1838
JVASP-10220,O6ZnPt3,65,Zn,b,-1.8944,-3.5795,5.4739,0.307842672,-1.8944,0,0,2.403,4.2862,-0.5086
JVASP-10220,O6ZnPt3,65,Pt,f,-5.8292,-8.9751,14.8043,0.212499071,-8.9751,0,0,13.1768,-5.5617,-4.2017
JVASP-10220,O6ZnPt3,65,Pt,a,-8.4515,-19.4653,27.9168,0.394522295,27.9168,0,0,-15.7295,-5.2143,-12.1873
JVASP-10221,O6MgPt3,65,O,p,4.5681,6.943,-11.5111,0.206313906,6.943,0,0,-11.3975,-1.3468,4.4545
JVASP-10221,O6MgPt3,65,O,j,2.6787,11.228,-13.9067,0.61476123,-13.9067,0,0,8.3279,4.0476,5.5788
JVASP-10221,O6MgPt3,65,Mg,b,-0.7369,-1.3764,2.1133,0.302607297,-0.7369,0,0,0.9294,1.6522,-0.1925
JVASP-10221,O6MgPt3,65,Pt,f,-7.0661,-8.3673,15.4334,0.084310651,-8.3673,0,0,13.6095,-6.1408,-5.2423
JVASP-10221,O6MgPt3,65,Pt,a,-7.0563,-21.4146,28.471,0.504313161,28.471,0,0,-16.544,-6.7979,-11.9269
JVASP-10222,O6CdPt3,65,O,p,5.2928,6.571,-11.8638,0.10773951,6.571,0,0,-11.7436,-1.4313,5.1726
JVASP-10222,O6CdPt3,65,O,j,2.6448,10.9491,-13.5939,0.610884294,-13.5939,0,0,8.1764,3.9163,5.4175
JVASP-10222,O6CdPt3,65,Cd,b,-0.737,-7.7868,8.5238,0.827072432,-0.737,0,0,3.0779,7.6921,-2.3409
JVASP-10222,O6CdPt3,65,Pt,f,-3.7312,-14.8516,18.5829,0.598421129,-3.7312,0,0,12.6356,-12.7857,-8.9044
JVASP-10222,O6CdPt3,65,Pt,a,-9.0574,-13.7553,22.8127,0.205933537,22.8127,0,0,-12.1867,-2.2156,-10.626
JVASP-10223,AlO3Pr,221,Al,a,0.0001,0.0001,-0.0002,0,-0.0001,-0.0001,0,0,0,0.0001
JVASP-10223,AlO3Pr,221,O,d,-0.4918,-0.4918,0.9837,0,0.4979,0.6933,-0.0042,-0.0061,-0.003,-0.4918
JVASP-10223,AlO3Pr,221,Pr,b,0.0002,0.0008,-0.0011,0.545454545,-0.0008,0.0005,0,0,0,0.0008
JVASP-10225,SiP2K2,72,Si,b,0.0129,0.3745,-0.3873,0.933643171,-0.3162,-0.0577,0.1705,0.2949,-0.1383,0.0213
JVASP-10225,SiP2K2,72,P,j,-0.323,-6.0233,6.3463,0.898208405,4.6362,0.7765,-4.0987,-1.159,1.861,-3.4772
JVASP-10225,SiP2K2,72,K,j,-0.2841,-1.8109,2.095,0.728782816,1.6036,-0.2864,-1.1777,-0.8761,-0.6866,-0.7275
JVASP-10227,PS3Tl,71,P,i,1.0562,3.5194,-4.5757,0.538322005,-2.9145,0.608,-2.8949,2.4451,-1.0595,0.4694
JVASP-10227,PS3Tl,71,S,m,-8.1436,-9.7285,17.8721,0.088680122,-2.1666,5.5925,10.7611,-5.1744,7.1016,7.3409
JVASP-10227,PS3Tl,71,S,h,3.5299,16.19,-19.7199,0.641996156,-12.1926,-3.1247,-13.1181,9.0515,5.4454,3.1411
JVASP-10227,PS3Tl,71,Tl,g,-0.1521,-0.2212,0.3734,0.18505624,-0.1049,0.1467,-0.0822,0.1141,-0.2558,-0.0092
JVASP-10229,Na2S2Zn,72,Na,j,0.1994,0.8076,-1.0069,0.604032178,0.5197,-0.1805,-0.6226,0.0193,-0.3902,-0.539
JVASP-10229,Na2S2Zn,72,S,j,2.4364,4.1644,-6.6008,0.26178645,0.8929,0.7103,-3.3384,3.8914,1.5363,-4.7843
JVASP-10229,Na2S2Zn,72,Zn,a,-0.5639,-0.7779,1.3418,0.159487256,-0.3213,0.3851,0.5245,-0.2488,0.8327,0.5701
JVASP-1023,Te,152,Te,a,18.791,35.1188,-53.9098,0.302872576,-23.7271,-24.5479,29.6104,4.6183,17.0955,19.1088
JVASP-10230,P3K2,69,P,n,0.2926,6.6467,-6.9393,0.915668727,-4.1608,3.5198,0.1154,-2.4804,0.1462,6.6412
JVASP-10230,P3K2,69,P,i,0.2285,6.4638,-6.6923,0.931712565,-2.2831,5.5857,-1.7112,0.3835,-2.1677,1.8995
JVASP-10230,P3K2,69,K,f,-0.3642,-0.7094,1.0736,0.321535022,0.0044,0.4669,-0.4893,0.2273,-0.6198,-0.2316
JVASP-10230,P3K2,69,K,h,-0.401,-1.0068,1.4078,0.430316806,-0.3851,0.0201,0.6627,-0.3755,0.8394,0.7607
JVASP-10232,PS3K,71,P,i,1.255,3.7219,-4.9769,0.495669995,-3.2476,0.5956,-3.1173,2.6052,-1.0738,0.6424
JVASP-10232,PS3K,71,S,m,-8.2404,-10.4845,18.7248,0.119846407,-1.0855,6.2685,11.8514,-5.6759,6.702,6.7614
JVASP-10232,PS3K,71,S,h,4.4613,15.7844,-20.2456,0.559286956,-12.9733,-2.7341,-13.1095,9.587,4.9286,3.3863
JVASP-10232,PS3K,71,K,g,-0.2549,-0.7378,0.9928,0.486402095,-0.4913,0.3012,-0.4444,0.428,-0.5431,0.0634
JVASP-10234,O3GeCd,148,O,f,1.6938,5.7223,-7.416,0.543217368,-0.7012,4.8891,-4.2495,1.1381,1.5347,-0.437
JVASP-10234,O3GeCd,148,Ge,c,-0.6484,-0.6487,1.2971,0.000231285,-0.3009,0.2333,0.708,-0.492,0.4748,0.7929
JVASP-10234,O3GeCd,148,Cd,c,-1.8669,-1.8671,3.734,5.36E-05,-0.866,0.6715,2.0382,-1.4165,1.3671,2.2825
JVASP-10235,O3ZnGe,148,O,f,2.1585,5.5012,-7.6597,0.436400903,-1.4408,4.3676,-4.5901,2.2773,1.6342,-0.8365
JVASP-10235,O3ZnGe,148,Zn,c,-1.7559,-1.7559,3.5117,0,-0.7563,0.6789,1.9508,-1.2948,1.3249,2.0511
JVASP-10235,O3ZnGe,148,Ge,c,-0.9912,-0.9913,1.9825,5.04E-05,-0.427,0.3832,1.1012,-0.7309,0.7479,1.1579
JVASP-1024,Te,152,Te,b,29.89,13.7801,-43.6701,0.369,13.7801,0,0,-31.25,27.5566,17.4699
JVASP-10253,NF6S2As,12,N,d,0.8193,1.0843,-1.9036,0.139209918,0.5031,0.6745,0.9715,0.1174,-1.0052,-0.6205
JVASP-10253,NF6S2As,12,F,j,-9.2894,-10.5251,19.8144,0.062363735,-5.4355,2.4022,-10.7677,-7.8109,-6.3338,13.2464
JVASP-10253,NF6S2As,12,F,i,-9.8214,-10.8355,20.657,0.049092317,10.6499,8.1728,12.1741,-7.046,4.1544,-3.6039
JVASP-10253,NF6S2As,12,S,i,-6.9634,-7.1685,14.1319,0.014513264,-2.6817,-4.8557,-6.958,-1.5993,7.9853,4.281
JVASP-10253,NF6S2As,12,As,a,0.291,0.3871,-0.6781,0.14171951,-0.3459,-0.2557,-0.3824,0.2528,-0.1986,0.0931
JVASP-1026,Th,225,Th,a,0,0,0,0.124,0,0,0,0,0,0
JVASP-10270,BO3Sc,167,B,a,-1.7107,-1.7107,3.4214,0,-0.9032,0.5296,1.7921,-1.3634,1.1753,2.2666
JVASP-10270,BO3Sc,167,O,e,0.4445,4.9658,-5.4102,0.835699235,-3.9223,3.4735,-0.79,2.7175,-1.5044,1.2048
JVASP-10270,BO3Sc,167,Sc,b,0.9218,0.9219,-1.8437,5.42E-05,0.4867,-0.2854,-0.9657,0.7347,-0.6334,-1.2214
JVASP-10273,S2K2Mn,72,S,j,0.7779,1.6161,-2.394,0.350125313,0.3042,0.2703,-1.1049,1.495,0.6306,-1.7993
JVASP-10273,S2K2Mn,72,K,j,0.312,1.0876,-1.3996,0.554158331,0.7534,-0.2675,-0.7795,-0.0227,-0.6239,-0.7307
JVASP-10273,S2K2Mn,72,Mn,a,0.7203,1.1746,-1.8949,0.239748799,-1.4345,0.0755,1.0737,0.8253,0.1761,0.6092
JVASP-1028,Ti,191,Ti,a,0.8168,0.8171,-1.6339,0.00018361,0.8171,0,0,0.8168,0,-1.6339
JVASP-1028,Ti,191,Ti,d,0.7446,0.7449,-1.4895,0.00020141,0.7449,0,0,0.7446,0,-1.4895
JVASP-10284,Na2S2Co,72,Na,j,0.1859,0.1956,-0.3816,0.025419287,0.134,-0.1139,-0.1359,-0.0301,-0.2509,-0.1039
JVASP-10284,Na2S2Co,72,S,j,0.6899,2.4142,-3.1042,0.55547323,0.0846,0.4726,-1.3342,2.1659,1.0417,-2.2505
JVASP-10284,Na2S2Co,72,Co,a,0.0151,0.0157,-0.0308,0.019480519,0.0097,-0.0081,-0.0133,0.0039,-0.0179,-0.0136
JVASP-1029,Ti,191,Ti,a,0.8187,0.8192,-1.6379,0.000305269,0.8191,-0.0001,0,0.8187,0,-1.6379
JVASP-1029,Ti,191,Ti,d,0.845,0.8452,-1.6901,0.000118336,0.8451,0.0001,0,0.845,0,-1.6901
JVASP-1030,Ti,191,Ti,a,0.8318,0.8315,-1.6632,0,0.8315,0,0,0.8318,0,-1.6632
JVASP-1030,Ti,191,Ti,d,1.1528,1.1527,-2.3055,0,1.1527,0,0,1.1528,0,-2.3055
JVASP-10302,K2GeAs2,72,K,j,-0.6914,-1.5205,2.2119,0.374836114,1.6267,-0.087,-1.3437,-0.7533,-0.1997,-0.8735
JVASP-10302,K2GeAs2,72,Ge,b,-0.128,-0.5783,0.7064,0.637457531,-0.4776,-0.1376,0.2315,0.524,-0.3162,-0.0464
JVASP-10302,K2GeAs2,72,As,j,3.1213,18.9189,-22.0401,0.716766258,16.3066,-1.518,-5.9984,-21.4519,-3.4858,5.1453
JVASP-10303,As2Rb2Sn,72,As,j,4.6034,16.4167,-21.0202,0.561997507,10.9078,3.4251,-12.5683,1.3494,7.8141,-12.2572
JVASP-10303,As2Rb2Sn,72,Rb,j,-0.6784,-3.2777,3.9561,0.65703597,2.916,-0.4781,-2.3732,-1.4575,-1.0907,-1.4584
JVASP-10303,As2Rb2Sn,72,Sn,b,0.1822,0.2539,-0.4361,0.164411832,-0.3338,-0.012,0.2332,0.238,-0.0273,0.0958
JVASP-1032,Tl,229,Tl,a,0,0,0,-0.276,0,0,0,0,0,0
JVASP-1034,Tm,194,Tm,d,-3.0086,-3.0085,6.0171,0,-3.0085,0,0,-3.0086,0,6.0171
