jid,element,wyckoff_letter,orbit_size,benchmark_target,representative_cart_max,full_cell_cart_max,cartesian_discrepancy,max_eigenvalue_difference_in_orbit,eigenvalues_invariant,explanation
JVASP-36913,Cl,b,6,17.704,17.704,22.56,4.855999999999998,0.0008791334870554834,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-3207,S,d,4,92.595,76.98666666666666,95.874,3.2789999999999964,0.0007967748631472205,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-30306,O,f,6,94.434,94.434,110.02733333333333,15.593333333333334,0.0012437155697142543,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-26352,O,f,6,74.057,74.057,87.841,13.783999999999992,0.002541689385039625,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17345,O,c,3,106.665,106.665,106.68266666666668,0.017666666666670494,0.017666666666670494,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-18669,Sc,h,4,30.196,30.196,30.392,0.19599999999999795,0.0013943941116778547,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-29370,Cl,c,2,49.58,49.58,49.582,0.0020000000000024443,0.002225530776108542,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-31167,F,f,6,82.514,82.514,88.023,5.509,0.0007720596003935043,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-3417,F,h,6,102.589,102.589,109.795,7.206000000000003,0.0006821742595093383,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17466,O,c,2,98.59,98.59033333333333,99.87633333333333,1.2863333333333316,0.00035242341138541633,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17935,Ti,h,6,18.011,18.011,24.286,6.275000000000002,0.0012664520013636604,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-14755,Ta,d,3,46.796,46.796,62.452,15.655999999999999,0.0043918008477916715,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-36949,F,f,6,43.27,33.812,51.633,8.363,0.0017573051933013062,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-20569,Ga,e,4,18.84,18.84,18.999,0.15899999999999892,0.000265748582886971,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-29380,Y,c,2,15.972,15.972,15.973333333333334,0.0013333333333349628,0.0016111779404219817,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-20901,O,g,4,69.328,69.328,118.25733333333334,48.92933333333333,0.0010295902402077672,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-36842,O,f,4,88.435,88.435,129.001,40.566,0.0007993665831094177,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17364,Hf,g,3,74.892,74.892,95.969,21.076999999999998,0.0023745453162433705,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-5602,Cl,i,6,57.261,57.261,83.042,25.781,0.0004806467931359748,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-32188,O,f,8,129.322,105.227,147.513,18.191000000000003,0.0014483581135777968,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-18350,Br,f,6,189.103,189.103,289.4866666666667,100.38366666666667,0.0008988383551695733,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-3117,N,d,4,30.767,30.767,58.427,27.66,0.000975333570018222,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-4597,F,g,3,62.291,62.29066666666667,83.20066666666666,20.909666666666666,0.0019081242272562804,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-13966,O,h,6,50.909,50.909,77.39833333333333,26.489333333333327,0.0005250526708948655,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-3246,Te,g,4,183.302,140.613,202.05566666666667,18.753666666666675,0.0005452029231847177,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-16139,Nb,a,2,11.597,11.597,11.79,0.19299999999999962,0.0023920105300838657,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-28364,Cr,c,2,34.044,34.044,41.088,7.044000000000004,0.002999096369123322,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17942,Ge,g,3,40.984,40.984,57.426,16.442,0.002920621513652577,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-4627,Pt,e,3,158.083,158.083,185.05733333333333,26.974333333333334,0.0011597649615566752,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-2712,F,f,6,84.033,84.033,97.646,13.613,0.0009749868744961532,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-22585,F,e,6,85.233,85.233,110.791,25.557999999999993,0.0008840691307412385,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-137,S,j,4,91.49,91.49,117.699,26.209000000000003,0.0006450724500233207,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-18507,P,j,4,48.728,48.728,52.242,3.513999999999996,0.001049404772146545,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-36963,O,f,6,37.04,28.468,42.636,5.596000000000004,0.0014914585478678077,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-14243,Hg,i,6,26.544,26.544,34.727666666666664,8.183666666666664,0.0011950253795198762,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-5389,S,f,6,189.721,189.721,202.745,13.024000000000001,0.0005288093972026786,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-25255,Si,f,6,10.144,10.144333333333334,13.06,2.9160000000000004,0.0003607770823181866,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-5266,I,l,8,68.181,49.43,88.91033333333333,20.72933333333333,0.00042983207486457786,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-3342,Te,g,4,156.444,113.687,195.99,39.54600000000002,0.0012584632477512514,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-2256,As,d,4,86.151,81.312,114.774,28.623000000000005,0.0008780096845271146,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-2796,F,h,6,108.904,108.904,119.684,10.780000000000001,0.0008616193159696195,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-31013,F,c,2,35.704,35.70366666666666,36.113,0.4089999999999989,0.0001464093035821179,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17268,F,e,6,118.739,118.739,150.857,32.117999999999995,0.0005834002923634785,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17975,Ge,h,4,52.134,52.134,55.939,3.8049999999999997,0.0012950377322624718,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-5536,O,h,8,81.798,81.798,87.424,5.626000000000005,0.00045336842862298,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-4564,O,g,4,64.868,64.868,93.043,28.17500000000001,0.0016537835571028836,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-3441,Se,g,4,145.24,124.637,170.134,24.893999999999977,0.0006348978898813584,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-24273,F,h,6,56.371,56.371,65.288,8.916999999999994,0.0006497457294045716,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-29234,Mo,d,3,74.049,74.049,78.684,4.634999999999991,0.004037527756707959,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-5425,Cl,h,4,177.789,177.789,191.332,13.543000000000006,0.000726178310060277,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-18719,Hg,h,6,132.995,132.995,163.26666666666668,30.271666666666675,0.0005485765325943248,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-4310,Fe,g,6,42.894,42.89366666666667,44.95,2.0560000000000045,0.0035676009379130846,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
