jid,site_idx,element,stabilizer_order,invariant_subspace_dim,is_symmetry_enforced_zero,frob_norm,category
JVASP-36465,3,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36465,4,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36618,0,Zn,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36618,1,Rh,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18401,0,Mn,12,1,False,0.6540382251825959,numerical_near_zero_unforced
JVASP-18401,1,Mn,12,1,False,0.6540382251825959,numerical_near_zero_unforced
JVASP-18401,2,H,12,1,False,0.6380924697878827,numerical_near_zero_unforced
JVASP-18401,3,H,12,1,False,0.6380924697878827,numerical_near_zero_unforced
JVASP-20609,0,Ti,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20609,1,Re,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17633,0,U,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15126,0,Tb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15126,1,B,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-39156,0,Sc,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-39156,1,Cu,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36475,3,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36475,4,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20508,0,Sb,48,0,True,0.0008164965809277261,symmetry_forced_near_zero
JVASP-20508,1,Yb,48,0,True,0.010198039027185569,symmetry_forced_near_zero
JVASP-14496,2,C,12,1,False,0.14696938456699069,numerical_near_zero_unforced
JVASP-36400,0,Ru,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-36400,1,N,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-36899,0,K,1,5,False,0.32059735910744286,numerical_near_zero_unforced
JVASP-35793,0,Pm,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35793,1,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36609,0,Mn,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36609,1,Cd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14686,0,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14686,1,Ce,48,0,True,0.004,symmetry_forced_near_zero
JVASP-36721,0,Nb,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-1333,0,S,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-1333,1,Ca,48,0,True,0.001414213562373095,symmetry_forced_near_zero
JVASP-14801,0,Ti,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14801,1,Ru,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19958,0,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19958,1,Th,48,0,True,0.007211102550927979,symmetry_forced_near_zero
JVASP-25138,0,N,12,1,False,0.01714642819948225,numerical_near_zero_unforced
JVASP-25138,1,N,12,1,False,0.01714642819948225,numerical_near_zero_unforced
JVASP-36503,3,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36503,4,P,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-12118,0,Li,2,3,False,0.29462857974066264,numerical_near_zero_unforced
JVASP-16896,0,Mo,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-16896,1,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-16079,0,Cr,48,0,True,0.006000000000000001,symmetry_forced_near_zero
JVASP-18352,0,Y,48,0,True,0.004082482904638631,symmetry_forced_near_zero
JVASP-18352,1,Bi,48,0,True,0.002,symmetry_forced_near_zero
JVASP-3288,0,Al,4,1,False,0.6747399499066289,numerical_near_zero_unforced
JVASP-3288,1,Al,4,1,False,0.6747399499066289,numerical_near_zero_unforced
JVASP-14852,0,Zn,48,0,True,0.00848528137423857,symmetry_forced_near_zero
JVASP-14852,1,Y,48,0,True,0.001414213562373095,symmetry_forced_near_zero
JVASP-35970,0,Li,12,1,False,0.18371717393863862,numerical_near_zero_unforced
JVASP-35600,0,Zn,8,1,False,0.9479546402650286,numerical_near_zero_unforced
JVASP-20540,0,Nd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14978,0,U,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-22665,0,Be,4,2,False,0.33795364573661085,numerical_near_zero_unforced
JVASP-22665,1,Be,4,2,False,0.33795364573661085,numerical_near_zero_unforced
JVASP-36214,2,C,12,1,False,0.09553009996854395,numerical_near_zero_unforced
JVASP-1390,0,O,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-1390,1,Sr,48,0,True,0.0032659863237109047,symmetry_forced_near_zero
JVASP-36299,0,Fe,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36299,1,H,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36318,1,Fe,16,1,False,0.440908153700972,numerical_near_zero_unforced
JVASP-20604,0,Ho,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20604,1,Rh,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17475,3,Ag,6,1,False,0.22227010595219504,numerical_near_zero_unforced
JVASP-17475,4,Ag,6,1,False,0.22227010595219504,numerical_near_zero_unforced
JVASP-20626,6,Pt,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-20626,7,Pt,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-18211,0,Th,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18211,4,C,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36601,0,Zr,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36601,1,Cd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36417,0,Ta,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-36417,1,C,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-15045,0,Yb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-22581,0,Zn,6,1,False,0.445498222966901,numerical_near_zero_unforced
JVASP-22581,1,Zn,6,1,False,0.5185833266377416,numerical_near_zero_unforced
JVASP-22581,2,Zn,6,1,False,0.23019122485446747,numerical_near_zero_unforced
JVASP-22581,3,Zn,6,1,False,0.2393198696305846,numerical_near_zero_unforced
JVASP-22581,7,S,6,1,False,0.6359926624314676,numerical_near_zero_unforced
JVASP-36410,0,Be,24,1,False,0.2976810373537421,numerical_near_zero_unforced
JVASP-19975,0,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19975,1,Pr,48,0,True,0.004760952285695234,symmetry_forced_near_zero
JVASP-36456,3,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36456,4,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14817,0,Rh,48,0,True,0.021725560982400433,symmetry_forced_near_zero
JVASP-17170,0,N,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-17170,1,Cu,24,0,True,0.0132664991614216,symmetry_forced_near_zero
JVASP-35822,0,Y,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35822,1,B,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20498,0,Mn,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20498,1,Pd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-2014,0,H,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-2014,1,Rb,48,0,True,0.00282842712474619,symmetry_forced_near_zero
JVASP-36321,0,Mn,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36321,1,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14723,0,Tm,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14723,1,Au,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-21536,0,Be,4,1,False,0.3728324020253605,numerical_near_zero_unforced
JVASP-15131,3,N,6,1,False,0.6487069189292394,numerical_near_zero_unforced
JVASP-15131,4,N,6,1,False,0.6487069189292394,numerical_near_zero_unforced
JVASP-17890,3,Pb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17890,4,C,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17500,3,In,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36129,0,Hg,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-23360,4,Ni,8,1,False,0.1910601999370879,numerical_near_zero_unforced
JVASP-23360,5,Ni,8,1,False,0.1910601999370879,numerical_near_zero_unforced
JVASP-35987,0,In,24,0,True,0.002449489742783178,symmetry_forced_near_zero
JVASP-35987,1,Bi,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-17289,0,Li,4,2,False,0.31338474755482276,numerical_near_zero_unforced
JVASP-17289,1,Li,4,2,False,0.31282689568939986,numerical_near_zero_unforced
JVASP-17289,2,Li,4,2,False,0.31338474755482276,numerical_near_zero_unforced
JVASP-3438,0,Li,4,1,False,0.20498292611825014,numerical_near_zero_unforced
JVASP-3438,1,Li,4,1,False,0.20498292611825014,numerical_near_zero_unforced
JVASP-36319,0,Mn,24,0,True,0.002449489742783178,symmetry_forced_near_zero
JVASP-36319,1,P,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-14533,0,Yb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18114,0,Pu,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36009,0,V,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36009,1,Co,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18196,0,Ga,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18196,1,Ru,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36898,0,Li,1,5,False,0.3806468179296919,numerical_near_zero_unforced
JVASP-17647,0,Ce,8,1,False,0.8254780433179311,numerical_near_zero_unforced
JVASP-17647,1,Ce,8,1,False,0.8254780433179311,numerical_near_zero_unforced
JVASP-14566,0,S,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14566,1,Dy,48,0,True,0.00565685424949238,symmetry_forced_near_zero
JVASP-36918,0,Ba,1,5,False,0.06774953874381728,numerical_near_zero_unforced
JVASP-36918,1,Hf,1,5,False,0.09280445391610613,numerical_near_zero_unforced
JVASP-17580,0,In,24,0,True,0.004242640687119285,symmetry_forced_near_zero
JVASP-17580,1,Sb,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-36522,3,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19851,0,Ti,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19851,1,Co,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36021,0,Tc,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36021,1,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35107,0,Al,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-34263,3,C,4,2,False,0.2524955445151459,numerical_near_zero_unforced
JVASP-15069,0,Yb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15069,1,Au,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18916,0,C,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18916,1,Ti,48,0,True,0.002943920288775949,symmetry_forced_near_zero
JVASP-36218,0,Ag,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36218,1,C,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36356,0,Pd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36356,1,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35439,0,Mg,16,1,False,0.9969423253127535,numerical_near_zero_unforced
JVASP-35819,3,Al,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35819,4,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-39049,3,Er,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-16922,0,Y,16,1,False,0.012247448713915891,numerical_near_zero_unforced
JVASP-16922,1,Ti,16,1,False,0.048989794855663564,numerical_near_zero_unforced
JVASP-17879,0,Tb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36284,0,La,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36284,1,Se,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36514,3,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36514,4,P,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14946,0,V,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14946,1,Tc,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18313,0,Bi,48,0,True,0.002160246899469287,symmetry_forced_near_zero
JVASP-18313,1,U,48,0,True,0.014212670403551895,symmetry_forced_near_zero
JVASP-36610,0,Zr,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36610,1,Hg,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17535,0,Th,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17535,1,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35956,0,Li,2,3,False,0.43887811519828596,numerical_near_zero_unforced
JVASP-35956,1,Li,2,3,False,0.43887811519828596,numerical_near_zero_unforced
JVASP-18946,0,Y,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18946,1,Cu,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36480,3,Bi,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36480,4,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18074,0,Ho,16,1,False,0.41069778020664627,numerical_near_zero_unforced
JVASP-25163,0,Sm,16,1,False,0.26622296419855795,numerical_near_zero_unforced
JVASP-14090,0,Li,8,1,False,0.32578213579016274,numerical_near_zero_unforced
JVASP-14090,1,Li,8,1,False,0.32578213579016274,numerical_near_zero_unforced
JVASP-14090,2,Li,8,1,False,0.06205374015050718,numerical_near_zero_unforced
JVASP-14090,3,Li,8,1,False,0.06205374015050718,numerical_near_zero_unforced
JVASP-19779,0,O,48,0,True,0.0021602468994692866,symmetry_forced_near_zero
JVASP-19779,1,Sm,48,0,True,0.00621825270205921,symmetry_forced_near_zero
JVASP-17867,0,Np,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17867,1,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17325,6,N,12,1,False,0.6817746450746514,numerical_near_zero_unforced
JVASP-17325,7,N,12,1,False,0.6817746450746514,numerical_near_zero_unforced
JVASP-2895,2,C,12,1,False,0.24249948453553463,numerical_near_zero_unforced
JVASP-34439,0,K,16,1,False,0.0016329931618554521,numerical_near_zero_unforced
JVASP-34439,1,Cr,16,1,False,0.008981462390204985,numerical_near_zero_unforced
JVASP-14742,0,Lu,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18596,0,Tm,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19719,6,Ir,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-19719,7,Ir,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-2334,0,K,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-2334,1,U,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-2334,2,O,16,1,False,0.7707727723957732,numerical_near_zero_unforced
JVASP-2334,3,O,16,1,False,0.7707727723957732,numerical_near_zero_unforced
JVASP-2334,4,O,16,1,False,0.7707727723957732,numerical_near_zero_unforced
JVASP-34325,0,Mo,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36892,0,Rb,1,5,False,0.025271855228033154,numerical_near_zero_unforced
JVASP-36892,1,Cu,1,5,False,0.06202150164795003,numerical_near_zero_unforced
JVASP-36637,0,Mg,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36637,1,Zr,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-12077,0,H,6,1,False,0.4207635915808306,numerical_near_zero_unforced
JVASP-12077,1,H,6,1,False,0.4207635915808306,numerical_near_zero_unforced
JVASP-19738,0,Te,48,0,True,0.0008164965809277261,symmetry_forced_near_zero
JVASP-19738,1,Ce,48,0,True,0.004472135954999579,symmetry_forced_near_zero
JVASP-17560,3,Pb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17560,4,O,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35991,0,Mo,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-35991,1,P,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-10223,0,Al,48,0,True,0.002,symmetry_forced_near_zero
JVASP-10223,4,Pr,48,0,True,0.013341664064126334,symmetry_forced_near_zero
JVASP-17465,0,O,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17465,1,Cr,48,0,True,0.004760952285695233,symmetry_forced_near_zero
JVASP-36631,0,Mg,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36631,1,Rh,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20061,0,Nd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20061,1,Cd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18770,0,Pa,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-2005,0,H,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-2005,1,Na,48,0,True,0.0058309518948453,symmetry_forced_near_zero
JVASP-18035,3,In,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18035,4,C,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35935,0,Li,6,1,False,0.017204650534085254,numerical_near_zero_unforced
JVASP-35935,1,Li,6,1,False,0.017204650534085254,numerical_near_zero_unforced
JVASP-35935,2,Li,12,1,False,0.28904324935898434,numerical_near_zero_unforced
JVASP-20545,0,Li,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20545,1,Hg,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36676,0,Cu,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36676,4,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36478,3,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36478,4,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14781,0,Y,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36034,0,Tl,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36034,1,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36544,3,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18594,2,Tb,16,1,False,0.7515370915663444,numerical_near_zero_unforced
JVASP-36451,3,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36451,4,P,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15053,0,Be,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15053,1,Co,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20488,0,Tb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35121,0,Ba,48,0,True,0.007348469228349534,symmetry_forced_near_zero
JVASP-35121,4,Zr,48,0,True,0.0783836717690617,symmetry_forced_near_zero
JVASP-35653,0,Ge,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35653,1,Pb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36607,0,Ba,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36607,1,Mn,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15691,0,Sr,16,1,False,0.03592584956081994,numerical_near_zero_unforced
JVASP-15691,1,Si,16,1,False,0.019595917942265426,numerical_near_zero_unforced
JVASP-36293,0,Ho,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36293,1,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14748,0,Mg,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14748,1,Pd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17582,0,Pr,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17582,1,In,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36429,0,Cr,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36429,1,Co,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36595,0,Zn,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36595,1,Os,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-21200,0,Tl,48,0,True,0.005099019513592784,symmetry_forced_near_zero
JVASP-20394,0,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-20394,1,U,48,0,True,0.0066332495807108,symmetry_forced_near_zero
JVASP-18239,0,Ce,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18239,1,Ga,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36885,0,Tl,2,3,False,0.0116619037896906,numerical_near_zero_unforced
JVASP-36885,1,Co,2,3,False,0.009055385138137417,numerical_near_zero_unforced
JVASP-2727,0,Al,4,1,False,0.2303432221707424,numerical_near_zero_unforced
JVASP-2727,1,Al,4,1,False,0.2303432221707424,numerical_near_zero_unforced
JVASP-19954,0,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19954,1,Sm,48,0,True,0.004898979485566357,symmetry_forced_near_zero
JVASP-18795,0,Tb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18795,1,Tl,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19979,0,Mn,16,1,False,0.37558842722675395,numerical_near_zero_unforced
JVASP-36036,0,Er,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36036,1,P,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-39153,1,H,8,1,False,0.09226411364483306,numerical_near_zero_unforced
JVASP-39153,2,H,8,1,False,0.09226411364483306,numerical_near_zero_unforced
JVASP-39153,3,H,16,1,False,0.20820662813657015,numerical_near_zero_unforced
JVASP-36487,3,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36487,4,P,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-16909,0,Al,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-16909,1,Mo,48,0,True,0.007348469228349534,symmetry_forced_near_zero
JVASP-36638,0,Sr,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36638,1,Si,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14950,0,Yb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14950,1,Pd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14642,6,As,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-14642,7,As,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-35417,6,Co,16,1,False,0.5911435245916735,numerical_near_zero_unforced
JVASP-36615,0,Zn,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36615,1,Si,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-1192,0,Se,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-1192,1,Cd,24,0,True,0.0053541261347363365,symmetry_forced_near_zero
JVASP-35714,0,Fe,16,1,False,0.5565309215727969,numerical_near_zero_unforced
JVASP-16064,0,Ba,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-16064,1,Np,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-39216,0,Na,12,1,False,0.9063123082028622,numerical_near_zero_unforced
JVASP-39216,1,Na,12,1,False,0.9063123082028622,numerical_near_zero_unforced
JVASP-39216,2,Li,4,2,False,0.5171421468029849,numerical_near_zero_unforced
JVASP-39216,3,Li,4,2,False,0.5173992655580407,numerical_near_zero_unforced
JVASP-39216,4,Li,4,2,False,0.5171421468029849,numerical_near_zero_unforced
JVASP-39216,5,Li,4,2,False,0.5171421468029849,numerical_near_zero_unforced
JVASP-39216,6,Li,4,2,False,0.5173992655580407,numerical_near_zero_unforced
JVASP-39216,7,Li,4,2,False,0.5171421468029849,numerical_near_zero_unforced
JVASP-36164,2,H,4,2,False,0.20087807247183553,numerical_near_zero_unforced
JVASP-36164,3,H,4,2,False,0.20087807247183553,numerical_near_zero_unforced
JVASP-14585,0,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14585,1,Tm,48,0,True,0.00282842712474619,symmetry_forced_near_zero
JVASP-14844,0,Nd,48,0,True,0.00565685424949238,symmetry_forced_near_zero
JVASP-36504,3,Bi,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36504,4,P,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19808,0,Zn,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19808,1,Au,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-19913,0,Nb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-3249,0,Nd,6,1,False,0.6699656707623161,numerical_near_zero_unforced
JVASP-3249,1,Nd,6,1,False,0.6699656707623161,numerical_near_zero_unforced
JVASP-17341,0,Al,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17341,1,Sb,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35813,0,Sc,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35813,4,C,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36613,0,Si,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36613,1,Hg,48,0,True,0.0,symmetry_forced_exact_zero
