jid,site_idx,element,frob_norm,cartesian_max,principal_max,difference,strict_underestimation,tol_filtered_underestimation,ratio
JVASP-35089,4,Au,250.2802887044843,204.353,204.353,0.0,False,False,1.0
JVASP-35089,5,Au,250.2802887044843,204.353,204.353,0.0,False,False,1.0
JVASP-18849,0,Ce,11.95228522082702,9.759,9.759,0.0,False,False,1.0
JVASP-18849,1,Ce,11.95228522082702,9.759,9.759,0.0,False,False,1.0
JVASP-18849,2,Ag,37.92177545949029,30.963,30.963,0.0,False,False,1.0
JVASP-18849,3,Ag,37.92177545949029,30.963,30.963,0.0,False,False,1.0
JVASP-18849,4,Sn,41.43066953357138,33.828,33.828,0.0,False,False,1.0
JVASP-18849,5,Sn,41.43066953357138,33.828,33.828,0.0,False,False,1.0
JVASP-17798,0,Li,0.8287440296416421,0.6766666666666667,0.6766666666666667,0.0,False,False,1.0
JVASP-17798,1,Li,0.8287440296416421,0.6766666666666667,0.6766666666666667,0.0,False,False,1.0
JVASP-17798,2,Co,5.293347334154448,4.322,4.322,0.0,False,False,1.0
JVASP-17798,3,Co,5.293347334154448,4.322,4.322,0.0,False,False,1.0
JVASP-17798,4,As,65.64550861000825,53.599333333333334,53.599333333333334,0.0,False,False,1.0
JVASP-17798,5,As,65.64550861000825,53.599333333333334,53.599333333333334,0.0,False,False,1.0
JVASP-36660,0,Zn,216.75167310542267,176.977,176.977,0.0,False,False,1.0
JVASP-36660,1,Zn,216.75167310542267,176.977,176.977,0.0,False,False,1.0
JVASP-36660,2,O,83.61578187160605,68.272,68.272,0.0,False,False,1.0
JVASP-36660,3,O,83.61578187160605,68.272,68.272,0.0,False,False,1.0
JVASP-16164,0,V,61.09803110302874,49.88633333333333,49.88633333333333,0.0,False,False,1.0
JVASP-16164,1,S,51.404583498620696,41.97166666666667,41.97166666666667,0.0,False,False,1.0
JVASP-16164,2,S,51.404583498620696,41.97166666666667,41.97166666666667,0.0,False,False,1.0
JVASP-15043,0,As,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-15043,1,Ce,0.0031622776601683794,0.002,0.00223606797749979,0.00023606797749978984,True,False,1.118033988749895
JVASP-19693,0,Ag,37.29348136068822,30.45,30.45,0.0,False,False,1.0
JVASP-19693,1,Ag,37.29348136068822,30.45,30.45,0.0,False,False,1.0
JVASP-19693,2,F,75.17034963778381,61.37633333333333,61.37633333333333,0.0,False,False,1.0
JVASP-17856,0,Co,47.30210327247617,32.421,34.387506251030445,1.9665062510304452,True,True,1.0606553237417244
JVASP-17856,1,Co,47.30210327247617,32.421,34.387506251030445,1.9665062510304452,True,True,1.0606553237417244
JVASP-17856,2,Se,247.22576092848146,144.62533333333334,194.26726129925936,49.641927965926016,True,True,1.34324503751712
JVASP-17856,3,Se,247.22576092848146,144.62533333333334,194.26726129925936,49.641927965926016,True,True,1.34324503751712
JVASP-17856,4,Se,247.22576092848146,144.62533333333334,194.26726129925936,49.641927965926016,True,True,1.34324503751712
JVASP-17856,5,Se,247.22576092848146,144.62533333333334,194.26726129925936,49.641927965926016,True,True,1.34324503751712
JVASP-25380,0,O,167.29538070132122,136.571,136.5842455718887,0.0132455718886888,True,True,1.0000969867093943
JVASP-25380,1,O,165.94772935074064,134.80333333333334,135.48905923512788,0.685725901794541,True,True,1.0050868616141628
JVASP-25380,2,O,166.48633348716643,134.571,135.92112294717703,1.3501229471770273,True,True,1.0100327927055386
JVASP-25380,3,O,165.94752999869166,134.80333333333334,135.48889604213232,0.6855627087989831,True,True,1.0050856510135677
JVASP-25380,4,O,165.94772935074064,134.80333333333334,135.48905923512788,0.685725901794541,True,True,1.0050868616141628
JVASP-25380,5,O,166.48633348716643,134.571,135.92112294717703,1.3501229471770273,True,True,1.0100327927055386
JVASP-25380,6,O,165.94752999869166,134.80333333333334,135.48889604213232,0.6855627087989831,True,True,1.0050856510135677
JVASP-25380,7,O,167.29538070132122,136.571,136.5842455718887,0.0132455718886888,True,True,1.0000969867093943
JVASP-2142,0,Fe,38.63609302193999,29.304,29.304,0.0,False,False,1.0
JVASP-2142,1,Fe,38.63609302193999,29.304,29.304,0.0,False,False,1.0
JVASP-2142,2,S,173.11330502303977,91.757,139.8314118205387,48.0744118205387,True,True,1.5239318179598145
JVASP-2142,3,S,173.11330502303977,91.757,139.8314118205387,48.0744118205387,True,True,1.5239318179598145
JVASP-2142,4,S,173.11330502303977,91.757,139.8314118205387,48.0744118205387,True,True,1.5239318179598145
JVASP-2142,5,S,173.11330502303977,91.757,139.8314118205387,48.0744118205387,True,True,1.5239318179598145
JVASP-15133,0,Nd,344.64892233208366,281.4046666666666,281.4046666666666,0.0,False,False,1.0
JVASP-15133,1,B,6.692005977283643,5.464,5.464,0.0,False,False,1.0
JVASP-15133,2,B,6.692005977283643,5.464,5.464,0.0,False,False,1.0
JVASP-15133,3,Rh,85.2944808765491,45.425,68.66887104217582,23.243871042175826,True,True,1.5116977664760776
JVASP-15133,4,Rh,85.2944808765491,45.425,68.66887104217582,23.243871042175826,True,True,1.5116977664760776
JVASP-15133,5,Rh,85.30660965013205,68.68,68.68,0.0,False,False,1.0
JVASP-28543,0,Mo,94.27473660530693,76.975,76.9750000086607,8.660705930196855e-09,True,False,1.0000000001125133
JVASP-28543,1,Mo,94.27473660530693,76.975,76.9750000086607,8.660705930196855e-09,True,False,1.0000000001125133
JVASP-28543,2,W,198.49195199805965,162.068,162.068,0.0,False,False,1.0
JVASP-28543,3,S,54.74242153942407,44.697,44.69700001491513,1.49151304640327e-08,True,False,1.0000000003336942
JVASP-28543,4,S,68.43874341336199,55.88,55.88,0.0,False,False,1.0
JVASP-28543,5,S,65.37810598357832,53.381,53.381,0.0,False,False,1.0
JVASP-28543,6,S,65.37810598357832,53.381,53.381,0.0,False,False,1.0
JVASP-28543,7,S,68.43874341336199,55.88,55.88,0.0,False,False,1.0
JVASP-28543,8,S,54.74405453258524,44.69833333333333,44.69833334824801,1.491468282210917e-08,True,False,1.0000000003336742
JVASP-18702,0,Fe,6.752426724272294,5.513333333333334,5.513333333333334,0.0,False,False,1.0
JVASP-18702,1,Fe,6.752426724272295,5.513333333333334,5.513333333333334,0.0,False,False,1.0
JVASP-18702,2,Fe,6.752426724272294,5.513333333333334,5.513333333333334,0.0,False,False,1.0
JVASP-18702,3,Pd,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-36878,0,Tl,0.017492855684535902,0.01,0.013967715534731877,0.003967715534731877,True,True,1.3967715534731877
JVASP-36878,1,Ag,0.007071067811865475,0.005,0.005591063390496266,0.0005910633904962657,True,False,1.1182126780992532
JVASP-36878,2,F,182.38779217370885,148.916,148.91900868784768,0.0030086878476822676,True,True,1.0000202039260233
JVASP-36878,3,F,182.37912177658936,148.9,148.91192933713307,0.01192933713306843,True,True,1.000080116434742
JVASP-36878,4,F,182.41181057705668,148.924,148.9386196520323,0.014619652032280328,True,True,1.0000981685425605
JVASP-14949,0,C,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-14949,1,Np,0.016492422502470645,0.01,0.012057036155490461,0.0020570361554904607,True,True,1.2057036155490461
JVASP-2610,0,K,14.718068351519504,8.332,12.013964372320858,3.6819643723208575,True,True,1.441906429707256
JVASP-2610,1,K,14.718068351519504,8.332,12.013964372320858,3.6819643723208575,True,True,1.441906429707256
JVASP-2610,2,K,14.717666730837466,9.636,12.013632060331014,2.377632060331015,True,True,1.246744713608449
JVASP-2610,3,K,14.717666730837466,9.636,12.013632060331014,2.377632060331015,True,True,1.246744713608449
JVASP-2610,4,As,101.51256790171352,68.978,77.3845758182912,8.406575818291202,True,True,1.1218732902996782
JVASP-2610,5,As,101.51256790171352,68.978,77.3845758182912,8.406575818291202,True,True,1.1218732902996782
JVASP-2610,6,Ag,232.89738543830845,100.68,188.75459544980927,88.07459544980927,True,True,1.8747973326361667
JVASP-2610,7,Ag,232.89738543830845,100.68,188.75459544980927,88.07459544980927,True,True,1.8747973326361667
JVASP-18258,0,Co,53.944011511937084,31.84,43.970596037540815,12.130596037540816,True,True,1.3809860564554277
JVASP-18258,1,Co,53.944011511937084,31.84,43.970596037540815,12.130596037540816,True,True,1.3809860564554277
JVASP-18258,2,Co,53.944011511937084,31.84,43.970596037540815,12.130596037540816,True,True,1.3809860564554277
JVASP-18258,3,Co,53.944011511937084,31.84,43.970596037540815,12.130596037540816,True,True,1.3809860564554277
JVASP-18258,4,N,9.719553899228092,5.267,7.879985370266786,2.6129853702667853,True,True,1.4961050636542217
JVASP-18258,5,N,9.719553899228092,5.267,7.879985370266786,2.6129853702667853,True,True,1.4961050636542217
JVASP-19751,0,S,8.941516426199753,4.144,7.280150180659894,3.136150180659894,True,True,1.756792997263488
JVASP-19751,1,S,8.941340727206406,6.25,7.279995061472403,1.0299950614724027,True,True,1.1647992098355844
JVASP-19751,2,S,8.941563286137386,5.078,7.280166581297828,2.2021665812978277,True,True,1.4336680939932704
JVASP-19751,3,Ni,52.50686005339365,25.935,42.734366909212625,16.799366909212626,True,True,1.6477488686798776
JVASP-19751,4,Ni,52.50441543337094,39.624,42.73231821600315,3.1083182160031484,True,True,1.0784453416112243
JVASP-19751,5,Ni,52.50434879131442,24.11,42.732203987063215,18.622203987063216,True,True,1.7723850678997601
JVASP-19812,0,O,8.305872862017575,6.722,6.778661037054777,0.05666103705477621,True,True,1.0084291932542064
JVASP-19812,1,O,8.306027570385256,6.722,6.778797297534872,0.05679729753487184,True,True,1.0084494640783803
JVASP-19812,2,Cu,23.593125962166745,18.164666666666665,18.914751974833052,0.750085308166387,True,True,1.041293645621521
JVASP-19812,3,Cu,23.596146422668262,18.107,18.91695308442032,0.8099530844203215,True,True,1.044731489723329
JVASP-2208,0,Ba,109.39666140243952,89.322,89.322,0.0,False,False,1.0
JVASP-2208,1,Ba,109.39666140243952,89.322,89.322,0.0,False,False,1.0
JVASP-2208,2,Zr,39.21061530589218,32.01533333333333,32.01533333333333,0.0,False,False,1.0
JVASP-2208,3,Zr,39.21061530589218,32.01533333333333,32.01533333333333,0.0,False,False,1.0
JVASP-2208,4,N,32.312852190214755,26.383333333333333,26.383333333333333,0.0,False,False,1.0
JVASP-2208,5,N,32.312852190214755,26.383333333333333,26.383333333333333,0.0,False,False,1.0
JVASP-2208,6,N,16.96598245509722,13.852666666666666,13.852666666666666,0.0,False,False,1.0
JVASP-2208,7,N,16.96598245509722,13.852666666666666,13.852666666666666,0.0,False,False,1.0
JVASP-36397,0,Ag,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-36397,1,N,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-35194,0,Zn,82.20610051571597,67.121,67.121,0.0,False,False,1.0
JVASP-35194,1,Zn,82.20610051571597,67.121,67.121,0.0,False,False,1.0
JVASP-35194,2,Ge,9.143537098227723,7.4656666666666665,7.4656666666666665,0.0,False,False,1.0
JVASP-35194,3,Ge,9.14394531917159,7.466,7.466,0.0,False,False,1.0
JVASP-35194,4,O,126.9464870040391,84.998,93.17163697199278,8.173636971992778,True,True,1.0961626976163295
JVASP-35194,5,O,126.94530066922525,78.32,93.17044882522333,14.850448825223339,True,True,1.1896124722321673
JVASP-35194,6,O,126.94439250317438,68.899,93.17027008682177,24.271270086821772,True,True,1.3522731837446373
JVASP-35194,7,O,126.94514304480762,68.9,93.17051739617801,24.270517396178008,True,True,1.3522571465337883
JVASP-35194,8,O,126.94552418524518,78.32,93.17115198467994,14.851151984679944,True,True,1.1896214502640443
JVASP-35194,9,O,126.9451478894198,84.997,93.17068837891198,8.173688378911976,True,True,1.0961644337907452
JVASP-18256,0,Fe,70.44680752170392,31.637,57.51957746298362,25.88257746298362,True,True,1.8181109922869936
JVASP-18256,1,Cu,7.561322635624008,3.398,6.173793776782473,2.7757937767824727,True,True,1.8168904581466958
JVASP-18256,2,Cu,7.561322635624008,3.398,6.173793776782473,2.7757937767824727,True,True,1.8168904581466958
JVASP-18256,3,Se,245.3601371127755,166.098,200.30055530229228,34.20255530229227,True,True,1.2059179237696556
JVASP-18256,4,Se,245.35896204540808,107.263,200.29960585614924,93.03660585614924,True,True,1.8673690448351177
JVASP-18256,5,Se,245.35979933558798,117.66,200.3002730245065,82.64027302450651,True,True,1.7023650605516447
JVASP-18256,6,Se,245.3598191106278,145.492,200.300304391126,54.808304391126,True,True,1.3767100898408573
JVASP-18256,7,Sn,9.98368973209137,4.483,8.151648513786244,3.668648513786244,True,True,1.8183467574807592
JVASP-18844,0,Pd,67.95550729705431,51.401,51.401,0.0,False,False,1.0
JVASP-18844,1,Pd,67.95550729705431,51.401,51.401,0.0,False,False,1.0
JVASP-18844,2,Sm,33.37149871771819,27.211666666666666,27.21166666666666,-7.105427357601002e-15,False,False,0.9999999999999998
JVASP-18844,3,Sm,33.37149871771819,27.211666666666666,27.21166666666666,-7.105427357601002e-15,False,False,0.9999999999999998
JVASP-30989,0,Si,36.89091710254256,18.446,29.46631321713606,11.02031321713606,True,True,1.5974364749612957
JVASP-30989,1,Si,36.89091710254256,18.446,29.46631321713606,11.02031321713606,True,True,1.5974364749612957
JVASP-30989,2,Si,44.832591359411744,28.337,32.8257222473573,4.488722247357298,True,True,1.1584049916136958
JVASP-30989,3,Si,44.832591359411744,28.337,32.8257222473573,4.488722247357298,True,True,1.1584049916136958
JVASP-30989,4,Fe,46.37236886336518,30.446,33.751811840253865,3.305811840253863,True,True,1.1085795125879874
JVASP-30989,5,Fe,46.37236886336518,30.446,33.751811840253865,3.305811840253863,True,True,1.1085795125879874
JVASP-30989,6,Er,78.46878175427473,54.425,60.537099660251094,6.112099660251097,True,True,1.1123031632567955
JVASP-30989,7,Er,78.46878175427473,54.425,60.537099660251094,6.112099660251097,True,True,1.1123031632567955
JVASP-30989,8,Er,68.3923061169895,54.138,54.2632608552269,0.12526085522690522,True,True,1.0023137325949778
JVASP-30989,9,Er,68.3923061169895,54.138,54.2632608552269,0.12526085522690522,True,True,1.0023137325949778
JVASP-35695,0,Mg,1.3023128144446197,1.0633333333333332,1.0633333333333332,0.0,False,False,1.0
JVASP-35695,1,Mg,1.3023128144446197,1.0633333333333332,1.0633333333333332,0.0,False,False,1.0
JVASP-35695,2,Se,1.4831662078135412,1.211,1.211,0.0,False,False,1.0
JVASP-35695,3,Se,1.4831662078135412,1.211,1.211,0.0,False,False,1.0
JVASP-14569,0,Nb,35.381048147277944,27.39,27.39,0.0,False,False,1.0
JVASP-14569,1,Nb,35.39215543026449,21.239,27.398013882656,6.159013882655998,True,True,1.2899860578490512
JVASP-14569,2,Nb,35.39215543026449,21.239,27.398013882656,6.159013882655998,True,True,1.2899860578490512
JVASP-14569,3,Si,37.05716780867097,21.583,28.913074984658223,7.330074984658225,True,True,1.3396226189435307
JVASP-14569,4,Si,37.05716780867097,21.583,28.913074984658223,7.330074984658225,True,True,1.3396226189435307
JVASP-14569,5,Si,37.057183730013804,24.922,28.91287873065378,3.9908787306537796,True,True,1.160134769707639
JVASP-14569,6,Si,37.05716780867097,21.583,28.913074984658223,7.330074984658225,True,True,1.3396226189435307
JVASP-14569,7,Si,37.05716780867097,21.583,28.913074984658223,7.330074984658225,True,True,1.3396226189435307
JVASP-14569,8,Si,37.057183730013804,24.922,28.91287873065378,3.9908787306537796,True,True,1.160134769707639
JVASP-35311,0,Th,179.0828294393407,144.578,144.5780000371721,3.71721000647085e-08,True,False,1.0000000002571077
JVASP-35311,1,Th,179.0828294393407,144.578,144.5780000371721,3.71721000647085e-08,True,False,1.0000000002571077
JVASP-35311,2,Co,88.54881830945007,71.746,71.746,0.0,False,False,1.0
JVASP-35311,3,Co,88.54881830945007,71.746,71.746,0.0,False,False,1.0
JVASP-35311,4,Si,28.925035073444594,23.206,23.206,0.0,False,False,1.0
JVASP-35311,5,Si,28.925035073444594,23.206,23.206,0.0,False,False,1.0
JVASP-35802,0,Ba,13.848598509115162,11.307333333333334,11.307333333333334,0.0,False,False,1.0
JVASP-35802,1,Ba,13.848598509115162,11.307333333333334,11.307333333333334,0.0,False,False,1.0
JVASP-35802,2,Zn,12.329914868589592,10.067333333333334,10.067333333333334,0.0,False,False,1.0
JVASP-36605,0,Ba,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-36605,1,Rh,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-36605,2,O,180.36736071325842,147.26933333333335,147.26933333333335,0.0,False,False,1.0
JVASP-36605,3,O,180.36736071325842,147.26933333333335,147.26933333333335,0.0,False,False,1.0
JVASP-36605,4,O,180.36736071325842,147.26933333333335,147.26933333333335,0.0,False,False,1.0
JVASP-35454,0,Pr,28.857438659728622,23.562,23.562,0.0,False,False,1.0
JVASP-35454,1,Pr,227.08974456368566,185.418,185.418,0.0,False,False,1.0
JVASP-35454,2,Al,15.355851197507743,12.538,12.538,0.0,False,False,1.0
JVASP-35454,3,N,18.38015453326404,15.007333333333333,15.007333333333333,0.0,False,False,1.0
JVASP-35454,4,O,26.40622498578697,19.607,19.607,0.0,False,False,1.0
JVASP-35454,5,O,26.40622498578697,19.607,19.607,0.0,False,False,1.0
JVASP-35454,6,O,9.7122268301353,7.93,7.93,0.0,False,False,1.0
JVASP-15445,0,Ba,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-15445,1,Pr,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-15445,2,O,67.47854343419098,55.096,55.096,0.0,False,False,1.0
JVASP-15445,3,O,67.47854343419098,55.096,55.096,0.0,False,False,1.0
JVASP-15445,4,O,67.47854343419098,55.096,55.096,0.0,False,False,1.0
JVASP-14631,0,Zr,40.55471250052206,25.387,33.11278406128197,7.725784061281971,True,True,1.3043204813992189
JVASP-14631,1,Zr,40.55471250052206,25.387,33.11278406128197,7.725784061281971,True,True,1.3043204813992189
JVASP-14631,2,Pd,68.86460058694888,43.109,56.22771092410331,13.118710924103311,True,True,1.3043148976803756
JVASP-14688,0,Si,30.651982263251206,20.488,24.570492889757144,4.082492889757145,True,True,1.199262636165421
JVASP-14688,1,Si,30.651982263251206,20.488,24.570492889757144,4.082492889757145,True,True,1.199262636165421
JVASP-14688,2,Si,30.651982263251206,20.488,24.570492889757144,4.082492889757145,True,True,1.199262636165421
JVASP-14688,3,Si,30.651982263251206,20.488,24.570492889757144,4.082492889757145,True,True,1.199262636165421
JVASP-14688,4,Pd,42.179358861888836,33.728,33.728,0.0,False,False,1.0
JVASP-14688,5,Pd,42.179358861888836,33.728,33.728,0.0,False,False,1.0
JVASP-14688,6,Pd,42.179358861888836,33.728,33.728,0.0,False,False,1.0
JVASP-14688,7,Pd,42.179358861888836,33.728,33.728,0.0,False,False,1.0
JVASP-16056,0,Er,82.72253460011164,67.54266666666668,67.54266666666668,0.0,False,False,1.0
JVASP-16056,1,Er,82.72253460011164,67.54266666666668,67.54266666666668,0.0,False,False,1.0
JVASP-16056,2,Co,126.6253799546784,101.99933333333333,101.99933333333333,0.0,False,False,1.0
JVASP-16056,3,Co,126.6253799546784,101.99933333333333,101.99933333333333,0.0,False,False,1.0
JVASP-16056,4,C,46.83950699996745,38.196,38.196,0.0,False,False,1.0
JVASP-16056,5,C,46.83950699996745,38.196,38.196,0.0,False,False,1.0
JVASP-17401,0,Ge,117.25743555954139,75.536,95.6810066239182,20.145006623918192,True,True,1.266694114381463
JVASP-17401,1,Ge,117.25743555954139,75.536,95.6810066239182,20.145006623918192,True,True,1.266694114381463
JVASP-17401,2,Ho,39.88572689572048,25.713,30.814668056441587,5.101668056441586,True,True,1.1984081226010805
JVASP-17401,3,Ho,39.88572689572048,25.713,30.814668056441587,5.101668056441586,True,True,1.1984081226010805
JVASP-18565,0,Tl,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-18565,1,Bi,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-35379,0,Ho,190.57111853233863,155.60066666666665,155.6006667052269,3.8560244774998864e-08,True,False,1.0000000002478153
JVASP-35379,1,Ti,43.73400636423179,35.708666666666666,35.708666666666666,0.0,False,False,1.0
JVASP-35379,2,Ti,43.73400636423179,35.708666666666666,35.708666666666666,0.0,False,False,1.0
JVASP-35379,3,Ga,82.2499396717104,44.693,65.75650000740652,21.063500007406518,True,True,1.4712930438190883
JVASP-35379,4,Ga,82.2499396717104,44.693,65.75650000740652,21.063500007406518,True,True,1.4712930438190883
JVASP-35379,5,Ga,82.2499396717104,44.693,65.75650000740652,21.063500007406518,True,True,1.4712930438190883
JVASP-35379,6,Ga,82.2499396717104,44.693,65.75650000740652,21.063500007406518,True,True,1.4712930438190883
JVASP-35648,0,Dy,405.96128354068446,331.466,331.466,0.0,False,False,1.0
JVASP-35648,1,Dy,405.96128354068446,331.466,331.466,0.0,False,False,1.0
JVASP-35648,2,Dy,405.96128354068446,331.466,331.466,0.0,False,False,1.0
JVASP-35648,3,Al,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-35648,4,N,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-35988,0,Hf,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-35988,1,N,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-18304,0,Al,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-18304,1,Fe,90.26533001472195,73.70133333333332,73.70133333333332,0.0,False,False,1.0
JVASP-18304,2,Fe,90.26533001472195,73.70133333333332,73.70133333333332,0.0,False,False,1.0
JVASP-18304,3,Fe,90.26533001472195,73.70133333333332,73.70133333333332,0.0,False,False,1.0
JVASP-18304,4,C,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-18323,0,La,0.0037416573867739417,0.002,0.002778457118258389,0.000778457118258389,True,False,1.3892285591291944
JVASP-18323,1,Bi,0.001414213562373095,0.001,0.001,0.0,False,False,1.0
JVASP-18855,0,Np,514.9431646800127,420.44933333333336,420.44933333333336,0.0,False,False,1.0
JVASP-18855,1,Np,514.9431646800127,420.44933333333336,420.44933333333336,0.0,False,False,1.0
JVASP-18855,2,Np,514.9431646800127,420.44933333333336,420.44933333333336,0.0,False,False,1.0
JVASP-18855,3,Al,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-19700,0,Tb,42.17333641058056,31.914,31.914000109075044,1.090750423315967e-07,True,False,1.0000000034177803
JVASP-19700,1,Tb,42.17333641058056,31.914,31.914000109075044,1.090750423315967e-07,True,False,1.0000000034177803
JVASP-19700,2,Ge,119.2343933938526,97.338,97.338,0.0,False,False,1.0
JVASP-19700,3,Ge,119.2343933938526,97.338,97.338,0.0,False,False,1.0
JVASP-18199,0,Th,152.4259677767101,121.51166666666667,121.51166666666667,0.0,False,False,1.0
JVASP-18199,1,Th,152.42732198657825,121.512,121.512,0.0,False,False,1.0
JVASP-18199,2,Th,152.4259677767101,121.51166666666667,121.51166666666667,0.0,False,False,1.0
JVASP-18199,3,Co,81.96237628326791,66.922,66.922,0.0,False,False,1.0
JVASP-18199,4,Co,40.42025499672163,33.003,33.003,0.0,False,False,1.0
JVASP-18199,5,Co,81.96237628326791,66.922,66.922,0.0,False,False,1.0
JVASP-18199,6,Sn,100.96229102326603,81.19566666666667,81.19566666666667,0.0,False,False,1.0
JVASP-18199,7,Sn,100.96606385645956,53.83433333333333,81.1990714797115,27.364738146378173,True,True,1.5083138668577953
JVASP-18199,8,Sn,100.96606385645956,53.83433333333333,81.1990714797115,27.364738146378173,True,True,1.5083138668577953
JVASP-36630,0,Mg,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-36630,1,Si,0.0,0.0,0.0,0.0,False,False,1.0
