structure_hash,group_size,jids,reduced_formula
b5abcd7cfe52c3ddea96e5440c8e4af8a3dac802a12a03e9e231316e33dc6f55,2,JVASP-18350;JVASP-12000,STh
2b3c62f8fac2188f653856b5bcea53a05e167a290fedc3c17bd12aa95ceff0ca,2,JVASP-4675;JVASP-15900,STh
217e2e6603f3fa9d3f5cce9817762cedfee88e9fad49b87929d47d89b84734dc,2,JVASP-4729;JVASP-16433,STh
bf26d3a3b70b1f4774d461e96f719f16d5603642746119ceb17c77d7b9d2ed8e,2,JVASP-5041;JVASP-13764,STh
71806a935b96044e78c51b92463ba407ec2cf251fa01637ee81a8c20ebe80693,2,JVASP-311;JVASP-19627,STh
5fbde8d7fef1fec9de97289596f6981c3feb7e5dcfc2efbc775f050c7da3fd1b,2,JVASP-4552;JVASP-14917,STh
acd98818b2d5956c9dc454fc8fa9fe63401367b5157ce5902c43453467c2ebb7,2,JVASP-5395;JVASP-18471,STh
486766542b80723b2e66731aa732df7550991028d6af27234451efdb6c08d7fb,2,JVASP-18426;JVASP-13782,STh
d6f8b3127b86ae09c38a7d74429fab693e57918c5a4c7d3472391a7237aa6a17,2,JVASP-4771;JVASP-16711,STh
3efc9f4359c92616480125f75f4e702cba5173c7c34e9dd4e7861daea16b4507,2,JVASP-246;JVASP-18928,STh
cb421ae94809b705a618bf202336e89f5fab2e7b3c574bb72ae834137c2f3788,2,JVASP-4705;JVASP-16302,STh
b93e22d44418f301127fd3db4a9199593343e8c5042ff894990b04b56e14569e,2,JVASP-12190;JVASP-320,STh
f7c4efaae788b71cdfedd47cf4cf36c501f0aaf1860fdd61447bcab22cc6c4a9,2,JVASP-31013;JVASP-22539,STh
fac3515eab6514de2876e40a4c6e2ec3fa365edc027f1a056233a6e8bbf51da8,2,JVASP-66;JVASP-15852,STh
f7869be6d9f918137d9a538f5eda41d9059ecb9528de099851aa21c53f281818,2,JVASP-22530;JVASP-24626,STh
a95d17abd6c5d9ccbbc1d20cd7cc24247ff611fd194109d3fa7cb50cd0cd5da6,2,JVASP-4618;JVASP-16112,STh
39ce65667524e748652346ec6e86b1d37d42fee9fc5a18bf33a49c274f7bd09f,2,JVASP-4720;JVASP-16371,STh
2ff75efc17d1c96a0a8048c7f1e6c76adfeef042846c2dde40476f27a06dd912,2,JVASP-25049;JVASP-7802,STh
cadc4e057c7949b9cac2d302b3fa5cdf5db12d0ec0653d921ad2f371ea8d1fef,2,JVASP-20471;JVASP-20210,STh
a164987143aba18cd2acdd45b4d2c86400e5d5b7576f775b22e2a8c7c81922f6,2,JVASP-20523;JVASP-14085,STh
d49ff07df785ec05fa6054683f77e1589fc41df6b3ba971403a931e1d2f89e56,2,JVASP-31190;JVASP-22547,STh
abf537ef73ac6c1f9c8f15ced7ab6f00e1673289c2a9a069008cefd9014bfdb0,2,JVASP-5599;JVASP-18506,STh
f958af7bbd7624939ff9e02fba80b493fd980288a1730ec4a24886e8d4193aa7,2,JVASP-4819;JVASP-16838,STh
515ee8f1734d887083cda4cb2a43cf2416aabd3802c2623085631ec710582c26,2,JVASP-542;JVASP-14965,STh
6a698799c8f9d0cbec0cb358e3c076691c7a108e64eec4f80e80bbce5653366e,2,JVASP-4816;JVASP-16837,STh
ab1ba28c9a6b6ad513228f5c636ec0117167944a5cf0725b12e644d5282ecf7a,2,JVASP-13732;JVASP-15933,STh
e6022c84c750c91c432cf3aa55cdf06ef32ba4486d43c6704af0124c2031ea87,2,JVASP-20511;JVASP-20242,STh
caaaac84df031c0fde4a860488dd3745f5357a26e64fce04ac9327fa0406e374,2,JVASP-13736;JVASP-16662,STh
459d93dbfc2b80069ef90e7e7b3bc4f32d61b24f5f95de729498094b65891ffe,2,JVASP-332;JVASP-15849,STh
163a8f2d9f55b775f4788955731fefd43d8bb91b879e2fe09925103277669ab5,2,JVASP-4765;JVASP-16666,STh
cf1001b43461e6305323886803f9c1c22a7e8f1fa46763ef8ba5c1e468bf39df,2,JVASP-13988;JVASP-16852,STh
982d6b358cbf19a86986f5c90b2a59010dee9e882e8b70dee405dc5cea0d6662,2,JVASP-1234;JVASP-110,STh
dbb737520baa9709c310bc24396987d7e191efecd783839ce417b7495b2abdff,2,JVASP-1254;JVASP-57453,STh
0823de0a4d7c0fff33c389947e3656be280b13f60c085c9ade00707750d40dae,2,JVASP-13751;JVASP-20470,STh
3166b7d325f86115e6ac94c858e7dd672be27422f7e7e63b5d177762313c5f25,2,JVASP-13969;JVASP-14923,STh
bed82c62d2175dafcf16c60fe6c5e30d9aaf69c39476878e25c470fc0f0eec80,2,JVASP-14093;JVASP-18005,STh
46642462779f37290ada121c1d8ef0de463e0f5f07c2b80a22e7bbefade4250a,2,JVASP-14094;JVASP-18026,STh
60937ec14bd537e1caa84f9956037775ee3435fb58dbfcadc116b9a59f984483,2,JVASP-14206;JVASP-18367,STh
04ad01ef071146c44a4d048bdd5ddc6897ab960c4a4a0935c28649ae0df74fd1,2,JVASP-14229;JVASP-18516,STh
040ac6cc7e757042b232c0513d72eb72c8e3d26372441060af737608939d0c82,2,JVASP-14235;JVASP-18551,STh
244d6d742b949fc1152da4a4595c79049609c25e8ac8d19f1552721344ec6535,2,JVASP-14261;JVASP-16169,STh
035dd98223d07ec88e02e69fde773e17cb5c768cc6c9b52f2d161ef7e7a4e5a4,2,JVASP-14798;JVASP-78264,STh
917af290e117b6f1364003d6a110146d9b847876488f1d2d0de4760c739b7809,2,JVASP-14864;JVASP-17904,STh
331c255c16604a9acd61bfc1c53389372b72c5dbd9d2c1b70673a5c9075de8ab,2,JVASP-16099;JVASP-12179,STh
4fe3377404f200ec306a74838af969e0084b8d04944de238b4836a56e100eef2,2,JVASP-16186;JVASP-13980,STh
4d665134cf9e4697d27aae58bb3893cdd942775b4d6b04263aadf12fc748261a,2,JVASP-16501;JVASP-14176,STh
fa9b0739d79f1b1c3006d686416dc7d6ee41c5c827b00aa55e2209d80ac466a9,2,JVASP-16779;JVASP-4795,STh
dfd2efc11569257b666095ec631a555b4986737fdb8d648aea8f7b69b3fd9b99,2,JVASP-17451;JVASP-13865,STh
f4541b10e5255f33aa381b185c6f4cc4b67f3d0f64a92a8a71b89c743be22098,2,JVASP-17526;JVASP-13755,STh
836f111a3f7654c472373ae6af9cfb45b479297533d1ab812d2866dd4233459e,2,JVASP-18346;JVASP-5227,STh
bf6e2b08580c0f553b2abe6222f2376178345df3172d72dc46d141be072cccad,2,JVASP-18446;JVASP-14344,STh
3ee309fb6a255ce9af979574ff256a611452c1f601a105e0cd9e118653c8bd70,2,JVASP-18455;JVASP-13918,STh
8ee2f9081f5baeac876c93ce1c8d8364b552326189f7d603e269c54d67d9eb67,2,JVASP-18501;JVASP-5578,STh
d1569cedf71f317aeaf52f74621b3af8115d486ede3d951c599684cc6501f283,2,JVASP-18619;JVASP-5785,STh
36229558091800ebdc4efd989d9e8d5737a8e4c6734c4a2c2c40a1cfc72a9d8b,2,JVASP-19790;JVASP-4370,STh
031f18c41efde3e512e02ab9d812ec1427c5e35896581b1da454a80aeb3ffdda,2,JVASP-19986;JVASP-14185,STh
c893391821508012b00ba0ab44b7ab6b4ad9e328d5a795869d612da97ed51acf,2,JVASP-20206;JVASP-20465,STh
5811ccd13c46db0f11caf95daa91bf074e76d8ed86d0516ae8b3d8fda780cad0,2,JVASP-20226;JVASP-20489,STh
fe962c2353002d6cb68a18f0bd1292bee3edc88eb4f11e41c9d9ca4ce5351da8,2,JVASP-20238;JVASP-20507,STh
77a7445d118b611d7825935072c8b97d671e545356f96401a24d2c4350b2a8aa,2,JVASP-20258;JVASP-20530,STh
c59c47bc39272ca0aedebefbd67c8e0311ac03a6109cd88c22091136adee053b,2,JVASP-20373;JVASP-20564,STh
0307d2492ebc0145e98badef103bdc148d3de49f348e6557643639fac92e2c1c,2,JVASP-20398;JVASP-20587,STh
85bfba4fd8e1a6e0535c601848d690d582b9b02a73dd698e3b4e943a2e0c73f4,2,JVASP-20485;JVASP-14298,STh
4089446783fc4183b04f1a8697f2ac7eec41ee9013bb4926d22f3e1d77d59d1e,2,JVASP-20497;JVASP-20232,STh
1c9bc51b870269dc0c0db2191744a5bfcff01486907269081112665f863fb17e,2,JVASP-20526;JVASP-20255,STh
379ff5bc14aa140cecab05f03cb6192958aafbcdc5461ff93c8b057d947f15a9,2,JVASP-20533;JVASP-20263,STh
c404cdd2fdeb76f857e5328afe30077046c62f45c7b53737bc298d25a8e00216,2,JVASP-20591;JVASP-4385,STh
3b5a0bca727d11a1d53b6abcde8cc41602eeeb0a83f8b75e648d393686124e22,2,JVASP-22535;JVASP-24699,STh
9d9be8c2378ebd7d6c466c8518f4994c03e44e71d2985a318474e738070e133c,2,JVASP-22543;JVASP-31173,STh
0880fcb321fa0f664a63ea14b6546cae6f890412edcdc5feeb45e847ea080735,2,JVASP-22595;JVASP-25660,STh
3ad0dd1ada54ff2a21fae046609ca95c4dfc140c2ef32498dc7b1db1c4a2e5ca,2,JVASP-25091;JVASP-7758,STh
3c236e33757a997ced8153eb0dd9655dc490178b6707f1d2e915857c5b0eda8e,2,JVASP-25123;JVASP-16278,STh
6c223c9f7ecb13dcfd72a86e5eba47bf7d466af475f9159877002c1c6f9a7fde,2,JVASP-25141;JVASP-14609,STh
8979a601f85ec2cb1ce00942c92d60f37270d978b0dc38ae691432f8b4e66dfd,2,JVASP-25335;JVASP-8154,STh
16764be79f6fd2e199384f4da88f56ad2b7dcc8837520b1585aff37c97b4f928,2,JVASP-2724;JVASP-8369,STh
aef269a2b1a7731c8c8d5c75280053c207e34de69a2e6edd10d073e7919a32d0,2,JVASP-30597;JVASP-8283,STh
f7908ff2f133111f467272828910d11ad3a8418f3d6d48d41017c9539f1df84f,2,JVASP-30603;JVASP-8294,STh
60c4bcee904d5641e0a3f8b4d601fa7bbaf9509cde2e0e970e65fdc16ce985dd,2,JVASP-30604;JVASP-8302,STh
1881793b95b17e6f27734c4ede7d760a1a92a59a65be7edcc3fae8affbb61c52,2,JVASP-30672;JVASP-8385,STh
f6c0f4a2b90594c94b44efd46a887a3c0d5ef6ba03728c10a92d1f1225c0aa57,2,JVASP-34156;JVASP-52096,STh
1197fb028f454099d12985b8760dc978af8ea63be55892ce1db51fdfbe21edcf,2,JVASP-34157;JVASP-52097,STh
1cdcd51993079c92d8c80912b5decbb8c3fd645d6c27ccccb453deddbca47c19,2,JVASP-34174;JVASP-52114,STh
adef270a61d30399d68313fa3155bc44ba673bb6bc366ac748d2e1dce6ccc3af,2,JVASP-34177;JVASP-52117,STh
98d382c0a5c2003b0b887a22b830f1b6bbcdb33a52e4daf44f0364998821fe5b,2,JVASP-14067;JVASP-15999,STh
e8bfc5803c9a92c015106afa24bc4d31d2c2a046b2afd5bf1ef3410b56261cf3,2,JVASP-14091;JVASP-17929,STh
6b5d8c00ac88aa5402907da3190f2815a1aff89f4d530d08b38c8418582d66c7,2,JVASP-17285;JVASP-12789,STh
f0d65b81a45f045c4faf53dc8595d4f9ad4ad544f03b3fecf8fbe5abed284eaf,2,JVASP-269;JVASP-1237,STh
5ba2ed291841cad9881007f699ebe37b0ae3d137e960a32b4c1b11e0c906a3ba,2,JVASP-4316;JVASP-63394,STh
36e875f1821f59f70261caa583a6e14c6347ac178fda07ffe5ea2cf0ad57bc5d,2,JVASP-4624;JVASP-16132,STh
c86983e91d7bd12125251af20b25a7c79fb7477604c4e886a2ccaccb0f17ddc7,2,JVASP-4672;JVASP-15890,STh
eb8e4840c5d6c6787771162ec2666fbe5b6c9adb9402c1017bf97d1624ac83c7,2,JVASP-4678;JVASP-15901,STh
e48d41d4febc282f72dc75250e8353b826664cbe26ae392545053fe68dcd8d9c,2,JVASP-4702;JVASP-16292,STh
cdf55fed51a169f7858eafae5a5803d8758322359f590e131e4c541f5869b713,2,JVASP-4744;JVASP-16593,STh
718b5848e5486be11595396ae4c9bd34924dde1923ed3fb90993e8fbe3a31ef4,2,JVASP-11963;JVASP-20211,STh
eec48b6c4266aa097e987cca3e05dd7b4f5da99af42557b56c4281d9e2e9a0c8,3,JVASP-12189;JVASP-16923;JVASP-341,STh
400be329fd0a5c4125c55a8a10d341588df588f3056d566376386a5ff6e44071,2,JVASP-12788;JVASP-17284,STh
499b98f0f3ad1d249c4d89b200f9e8687af9de27c7f967f2ffc3f023a36188b0,2,JVASP-12872;JVASP-16096,STh
42507852547104d30c42a8d0ddd3823e60c1445dfa2f34b8e0f3d4d1cdcd10a6,2,JVASP-14312;JVASP-17976,STh
9bf4489585cb49f63052f13f1a3965ee725b82160feed9da49f592ce3360207a,2,JVASP-14408;JVASP-16024,STh
3d15bc64ed6e4bc5a198ed5d68491476056b595013368fcbeecb7e6566accca7,2,JVASP-14591;JVASP-993,STh
d8bed26481bdb2a160fcc1ffe7cf14dd98dd75a79a605f385ee0f25dabd6e33f,2,JVASP-14603;JVASP-822,STh
a162f67c5d7ee6dd2bc0d6a6c318604870255ccfdc6e18117ae15aa642b5a070,2,JVASP-14664;JVASP-987,STh
0ed3488be7f0a73d535429177b7d251655453d3e72060be5d408fc8de21aa617,2,JVASP-14744;JVASP-952,STh
c3c23644f1684df80bb37448b820684292607d37cf38a607cacc5519f7e085f0,2,JVASP-14776;JVASP-858,STh
1d8e0ad549a20f6b58e5fd82acccca6adc1e93c9b08f4b4fa1c2ac2f18668143,2,JVASP-14826;JVASP-78385,STh
5843c1d72712131b0e8ad8abaed57f054c92c4157338e34eba8fe00b81b809a9,2,JVASP-14915;JVASP-25331,STh
a4c709e6bb18e57227917578945e3f681fde79e66b10ec3a4482610ae8b1069b,2,JVASP-16050;JVASP-4594,STh
456d6e2366faf0af9487d4a9dcb288b05499a32d478af2967b83e1bbf06c3382,2,JVASP-18214;JVASP-5125,STh
fc89492ef3f81d6838100b48db9805a75853a9398f6fbebf52ab4ba0eaec69b1,2,JVASP-18338;JVASP-837,STh
cb1815abe170d1ac921f1935c497068dff1de20a6a1493fa950c9b2a4815e5e8,2,JVASP-19923;JVASP-78266,STh
1426fac85937e9a412270a139f3d142f32e2d9ce93620441da564dc89886f34e,2,JVASP-19926;JVASP-4319,STh
e94f34bc02b7d1e8449eb622b753ab165fdf60d57ae74bb3bc4e5566530a7923,2,JVASP-20376;JVASP-20566,STh
740f56c99b49b0bd3157486c8d6739482aa9ae8e2d05a368b54e47dc0dfeee64,2,JVASP-37083;JVASP-79208,STh
fb8520f38f774af196f49027bb61b5b8d49c1badf358f63e6c6e0f2fe4669309,2,JVASP-37150;JVASP-78843,STh
4f106c3f749df9912914722d9fd5af5fe940ec26466705e791418e48ad897ea8,2,JVASP-42470;JVASP-42945,STh
d7960f06028c2049820852a69ef5dcecfc7fbbee8755b1ecf009b51fbf70f6bb,3,JVASP-61273;JVASP-62288;JVASP-63216,STh
17ac6fe83b2f36c66dffce7f1f25c493df5fb91438e9d39886ce984631a21480,2,JVASP-65605;JVASP-65753,STh
488b7dbc5e9ec4d1920283d0efa95db6635c8edb1d673827e03c0144b92bd4fa,2,JVASP-65729;JVASP-69338,STh
87b6a8d0c490d2165377e9eb99453b68b2ca13777ed2fc14470555ed92ec1e10,2,JVASP-66981;JVASP-67360,STh
2f1b503693d3625c1527a4a4c947539d24098261334df81169317731e6b00b83,2,JVASP-67005;JVASP-67041,STh
4ccc87adf7ffb7ffbeed7925870ad85a462ef709db5feaa95a02f3a62741567b,2,JVASP-67301;JVASP-74876,STh
bcb61b297e3cca167a504721f3d7c8ec99c453d0ad6a64836f26ef0a559477cd,2,JVASP-68991;JVASP-69013,STh
2f501abedc4c6112d52459d467de88163db4512776e445cb2507769f67ca8edb,2,JVASP-7645;JVASP-25068,STh
6a4baa0d4ebb1084f35fa1b602092f687a9f3ba69617c281aaac40647a98647a,2,JVASP-7664;JVASP-78332,STh
3d6de718480ecdf56bdf2c924d1de85940f6717cbad7959e31045b459f8c999e,3,JVASP-7666;JVASP-78498;JVASP-25125,STh
be495524c91935fa466a971e6f2a748db9a636ced9d539c91700c0f184be6c24,2,JVASP-76775;JVASP-80932,STh
298e8f53e1cf294141c66982df1041ddbc4bfc2f1db44f8406eccda27a4a8b83,2,JVASP-76857;JVASP-81080,STh
c30a97bef685191c7455457b1d7a0fc90abd279407c546dd52bb75c4164214d6,2,JVASP-7688;JVASP-78540,STh
16b727384cf5cb8473663c893130722af890da7d483ac1e289aa63ee4295f533,2,JVASP-76916;JVASP-81210,STh
61772c9295f47f24abf2fb785d46187542fc7574d226c6c23b5829a61f417748,2,JVASP-76930;JVASP-81240,STh
46e5ac67f225c97efddbcc366dbaaa85f8ca2b98bc4a1ca013d7ccf62384d09b,2,JVASP-77270;JVASP-81859,STh
9ee6906c7d183ab45a20cf52afa56359fa82cfedc129568eaa5a8c27297b65b5,2,JVASP-77336;JVASP-81973,STh
c7718495c4d5de4fdeb24278f7cf944618054bcb39899360e734bd52fc50275f,2,JVASP-7739;JVASP-25089,STh
b2b283cb0c806eed5f3671789e3e28258058741dded781d7b443e0c84250d226,2,JVASP-77448;JVASP-82076,STh
40cb6cef6055162175a57945ed636d5e20a8a159e11525e2390c1635d504cca4,3,JVASP-7806;JVASP-78715;JVASP-25046,STh
34eaa1a18d06ebc5460912db40fe91e9ac0a949d5882d75afbfbcecf8f13c572,2,JVASP-7818;JVASP-25144,STh
4bbe4bffb99e93e212be9ed336e3d1cf53e5250fd0bc878e2eef7529399f67d9,2,JVASP-78269;JVASP-78353,STh
934ddf0db86886a7f3196c4852ddadf7b200bd5bf1205f26d29f28461e7389c7,2,JVASP-78273;JVASP-78398,STh
69347b573e0217eef97da8756e78d8d7f2c2e40976e8051f9283c4d839b4195a,2,JVASP-78278;JVASP-78500,STh
7d92fe15c7007862f00526e535a1743ffb52cc3a559adca683f789f941cd15b4,2,JVASP-78295;JVASP-78466,STh
a45b26172904664b2129b13dba6167f46c738543e8441e41ad306c39a5ed9816,2,JVASP-78330;JVASP-25230,STh
eb2700ca3f7451c3717e8f2b3daa286dfe89f0aae896f463c78b6952d2a94214,2,JVASP-78335;JVASP-963,STh
3606512dc1c54e5e72e66b052f2a0dcb0b1cad6f101c39fb731c81116095ca02,2,JVASP-78338;JVASP-861,STh
75425b5f7556bcdd21aba98d8379b6ed4aa7948ff317361c7895cd358f6d830e,2,JVASP-78381;JVASP-8114,STh
82b91f4b0e37257d6cd0e97c077e9c1bfb3d9ecf7905958a5a5917a22bb49c26,2,JVASP-78413;JVASP-808,STh
5a184ec2b58cb6d9a9a78b54245d4b2b8c6de224643f90d3945c5ef1dbc75abf,2,JVASP-78436;JVASP-16605,STh
93749bb41123bb36dc5a61a81fd8473e0b1ffe2d25e83273bcfa099e08d1bd7f,2,JVASP-78438;JVASP-25154,STh
e1eb8e934b2e52eafa9ea28f582f0d5c131dcce28dee46b6079c66b8b39b7f63,2,JVASP-7843;JVASP-25152,STh
77bfa90fdc32966eebadd951e471d4539f7e50c39c0ce81914af970294c4915b,2,JVASP-78463;JVASP-78773,STh
dbfd283a1acd87d9fdc344277165ffdc04fd40d9d5c49bf4641ce13d8281b470,2,JVASP-78474;JVASP-25103,STh
2bc54fcd58a333758047ed9c2d9d55e70ce98a769b35795683fa137a762454df,2,JVASP-78492;JVASP-78528,STh
91ae4ff7631714ef78c25dec68aa975b46ade5be883f84d974a9e97324225de2,2,JVASP-78517;JVASP-16596,STh
5e51439735fe2ae3016743e154f9b8259c398b5e88ddbd23ea303aea2c70f5bb,2,JVASP-7856;JVASP-8249,STh
eb2adc01737893f3141ce5417520f7334c38f6cca8db6092f72a2f830c65b1f2,2,JVASP-78716;JVASP-4924,STh
97777e34ead2fa3f7ab4b46224b66cbed0a6a3ff6a5c2144bea78c1b2aea760b,2,JVASP-78723;JVASP-7983,STh
40d59387b0d61ce0c131896cf983446653cfdf78a078b437dfeedc0212ae23a9,2,JVASP-78730;JVASP-882,STh
7f692f3a89c1ab34422a9088befceeb07a63c683953dba7359d49dbec0b49222,2,JVASP-78775;JVASP-20748,STh
26b373eabd4431dc1f283f5465a874b5199e43d16f7fde953200580a4f7e1427,2,JVASP-78776;JVASP-8140,STh
ead6e783ccba3f8b9357f38d2e8ec346dcdd4902ab4659035b8cb01ac9cb21d3,2,JVASP-78784;JVASP-25409,STh
946c26f5d31d13b2f17be758a179dda92866c609fb2f34583374ebbbe1a5a40b,2,JVASP-78800;JVASP-78861,STh
d51726e67e83c194a710aee0555a5430dfed8442d6b3710f4b9df3da38ffc638,2,JVASP-79624;JVASP-8184,STh
4c38fedc99d354532d186f23fa88c386441aaa4710fa64b991e2287e0fc89a90,2,JVASP-79636;JVASP-25150,STh
752d0aa4aca3d1996a72647a0ea52933f2398a5e4dae78f3a6fa38329136e930,2,JVASP-79825;JVASP-538,STh
082d298d3206e14b12cb4b99225a1b628092a1a6f09706bc95ca95820e5c41be,2,JVASP-8032;JVASP-8259,STh
e573ceaf30756f4722124494a7397eb1c2a10b67bc613a3c700ee52ee0d792f8,2,JVASP-8139;JVASP-25332,STh
82a2b92b5b6a30cc8f869a5a2a35608781761ada6d043358004facf71c2c40fb,2,JVASP-81990;JVASP-85040,STh
f2ebedb750f154d4160b31076fbbcc288cda38eebcf8bb1cd73f097cd14a6389,2,JVASP-81992;JVASP-85041,STh
ca95c255ecdb2f97561fd4c05b4cb29df90b5aea2bc9684a52abfb7bf5ace1d3,2,JVASP-82128;JVASP-85121,STh
dd6044b1255369591063e13cd0f87eed00bc343c652d3e3421b7c5b4f2c455a5,2,JVASP-82130;JVASP-85123,STh
ed61212cc3f19184551fab479e1a5154d044cebd907e007727e38a5087477d63,2,JVASP-8247;JVASP-30559,STh
50919c0bf0c98633a530f4e8a2cc47ae264c2ff2da4e2907c9c89e7867bf440e,2,JVASP-86145;JVASP-86747,STh
5440008a8f05ad2bec993baa126cca722c51b20b8235c48c195c1a3f1d0c9503,2,JVASP-86154;JVASP-86756,STh
e4bdde4c977d9bdbabc73c5b5ccdc7dd66676b1de6348fc4e6a09aec63442e70,2,JVASP-86171;JVASP-86773,STh
97c3250bab2bd1e4bde04892f2f5f8b008a1b2291e91727da2adceede68cf7f0,2,JVASP-86195;JVASP-86797,STh
ebb7a4efa42ff7cce7cfb3b7eabc2aa0ecc61da1ec8dcfcdf30177e896ab1a80,2,JVASP-86291;JVASP-86894,STh
1119cfbd6497e67fa05ccb2e7a3c270ce16537a3165c9926d03af2efc9818bff,2,JVASP-86322;JVASP-87063,STh
9dc7cbd0ea6b6d641ce490871adc5012964f895abda6115adffb03d9f1db7d1d,2,JVASP-11997;JVASP-25145,STh
a912ea4b6ed12375d6d3f8fcb8ca962ccef2c23294257dfb4b59b9a1a902d41c,2,JVASP-12177;JVASP-25336,STh
87e7fb5c01d1da9eb14e20892b39c2e63fad82976cb40f22025194a1e9ac0c92,2,JVASP-20165;JVASP-20293,STh
bcd20a36c5e910458e05f3b23df4e8893c8a7a5f9867dfce71679b4f4807b618,2,JVASP-25092;JVASP-25287,STh
ac39f1f0b2138484f887891c0475f3637ad507f939c19971ae93c8fbc787fc91,2,JVASP-25095;JVASP-25286,STh
326b176ca854bd6651f489b7e9473941ddb07f2d6da8c8a46438c2a90b6bce75,2,JVASP-25115;JVASP-25399,STh
5eee0374be39dfd54213548b67fcc67b2ee4d8bf6a6de583a5320563f4dbf874,2,JVASP-25218;JVASP-25396,STh
e57c70484c51b67c34e950f6474aa88d523bfb9cf0f90b7185584f35967fc459,3,JVASP-978;JVASP-25296;JVASP-25303,STh
